WORD,★,TYPE,😠,💩,🐸,🤡,👩🏼,🐷,👳🏽,✊🏻,☝🏽,?
dipfuck,3,NOUN,,TRUE,,TRUE,,,,,,FALSE
beaner baby,4,NOUN,,,,,,,TRUE,,,FALSE
dumbass,2,NOUN,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
rowdy,0,ADJ,,,,TRUE,,,,,,FALSE
bdsm,1,NOUN,TRUE,,,,,TRUE,,,,FALSE
smarmy,3,NOUN,TRUE,,,,,,,,,FALSE
moulies,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
masshole,3,NOUN,,,TRUE,,,,TRUE,,,FALSE
shemales,4,NOUN,,,,,TRUE,,,,,FALSE
barface,1,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
caublasian,1,NOUN,,,,,,,TRUE,,,FALSE
jocks,3,NOUN,,,,,,,TRUE,,,TRUE
yobbo,2,NOUN,TRUE,,,,,,,,,FALSE
coloureds,1,NOUN,,,,,,,TRUE,,,FALSE
chink,4,NOUN,,,,,,,TRUE,,,FALSE
batty bwoys,3,NOUN,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
honkers,1,NOUN,,TRUE,,,,FALSE,,,,FALSE
bestiality,0,NOUN,,,TRUE,,,,,,,FALSE
oaf,3,NOUN,TRUE,,,TRUE,,,,,,FALSE
yobs,2,NOUN,TRUE,,,,,,,,,FALSE
nigg,4,NOUN,,,,,,,TRUE,,,FALSE
slimeball,3,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yard ape,4,NOUN,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
hoorah henries,1,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
tang,2,NOUN,,TRUE,,,,TRUE,,,,FALSE
phukked,2,ADJ,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
gypsi,3,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
carpet pilot,3,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
gook eye,4,NOUN,,,,,,,TRUE,FALSE,FALSE,FALSE
niggle,4,NOUN,,,,,,,TRUE,,,FALSE
fistfucked,2,ADJ,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE
swalow,1,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
sheepshagger,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
jewbag,4,NOUN,,,,,,,TRUE,,TRUE,FALSE
cockfight,1,NOUN,TRUE,,,,,,,,,FALSE
